board,qualification,subject,spec_slug,series,paper_ref,variant,material_type,source_page_url,source_file_url,expected_identity,status
pearson-edexcel,international-a-level,physics,wph14,2021-01,WPH14/01A,none,ms,,,Pearson Edexcel physics (wph14) WPH14/01A 2021 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,physics,wph15,2020-10,WPH15/01,none,qp,,https://cdn.savemyexams.com/uploads/2023/01/wph15-01-qp-oct-2020.pdf,Pearson Edexcel physics (wph15) WPH15/01 2020 question paper,normalized
pearson-edexcel,international-a-level,physics,wph15,2020-10,WPH15/01A,none,ms,,,Pearson Edexcel physics (wph15) WPH15/01A 2020 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,physics,wph15,2021-01,WPH15/01,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/Advanced%20Level/Physics/2021%20Jan/Question-paper,https://papers.xtremepape.rs/Edexcel/Advanced%20Level/Physics/2021%20Jan/Question-paper/QuestionPaper-Unit5%28WPH15%29-January2021.pdf,Pearson Edexcel physics (wph15) WPH15/01 2021 question paper,normalized
pearson-edexcel,international-a-level,physics,wph15,2021-01,WPH15/01A,none,ms,,,Pearson Edexcel physics (wph15) WPH15/01A 2021 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-a-level,physics,wph16,2020-10,WPH16/01,none,qp,,https://cdn.savemyexams.com/uploads/2023/01/wph16-01-qp-oct-2020.pdf,Pearson Edexcel physics (wph16) WPH16/01 2020 question paper,normalized
pearson-edexcel,international-a-level,physics,wph16,2020-10,WPH16/01A,none,ms,,,Pearson Edexcel physics (wph16) WPH16/01A 2020 mark scheme,na:pmt-mislabeled
pearson-edexcel,international-gcse,chemistry,4ch0,2016-01,4CH0/1C,none,qp,https://papers.xtremepape.rs/index.php?dirpath=Edexcel/International%20GCSE/Chemistry/2016%20Jan/Question-paper,https://papers.xtremepape.rs/Edexcel/International%20GCSE/Chemistry/2016%20Jan/Question-paper/Questionpaper-Paper1C-January2016.pdf,Pearson Edexcel chemistry (4ch0) 4CH0/1C 2016 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2019-06,4CH1/1CR,none,qp,,https://cdn.savemyexams.com/uploads/2021/09/4CH1_1CR__June19_QP-IGCSE-Edexcel-Chemistry.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/1CR 2019 question paper,normalized
pearson-edexcel,international-gcse,chemistry,4ch1,2019-06,4CH1/2CR,none,qp,,https://cdn.savemyexams.com/uploads/2021/10/4CH1_2CR_June19_QP-IGCSE-Edexcel-Chemistry.pdf,Pearson Edexcel chemistry (4ch1) 4CH1/2CR 2019 question paper,normalized
